step,denied_requests,total_nodes_traversed,total_fragments
596,126,2946,1810
597,126,2953,1814
598,126,2968,1818
599,127,2968,1822
600,128,2968,1826
601,128,2968,1830
602,128,2981,1835
603,129,2981,1840
604,129,2981,1844
605,129,2994,1848
606,129,2994,1852
607,129,2994,1856
608,129,2994,1860
609,129,3007,1864
610,129,3007,1868
611,129,3007,1872
612,129,3012,1877
613,129,3012,1881
614,129,3012,1885
615,129,3025,1890
616,129,3041,1895
617,130,3041,1900
618,130,3058,1905
619,131,3058,1910
620,131,3058,1914
621,131,3058,1917
622,131,3058,1920
623,131,3062,1924
624,132,3062,1928
625,132,3062,1931
626,132,3080,1934
627,132,3080,1937
628,132,3080,1940
629,132,3100,1943
630,132,3100,1946
631,132,3120,1949
632,132,3138,1952
633,132,3138,1955
634,132,3154,1958
635,132,3173,1961
636,132,3173,1964
637,132,3173,1966
638,132,3173,1968
639,132,3178,1970
640,132,3184,1973
641,132,3203,1976
642,132,3223,1979
643,132,3239,1982
644,132,3239,1985
645,132,3256,1988
646,132,3256,1991
647,132,3256,1994
648,132,3256,1997
649,132,3272,2000
650,132,3293,2003
651,132,3294,2006
652,132,3296,2009
653,132,3315,2012
654,132,3315,2015
655,132,3318,2018
656,132,3322,2021
657,132,3322,2024
658,133,3322,2027
659,134,3322,2030
660,134,3327,2034
661,134,3327,2038
662,134,3350,2042
663,134,3370,2047
664,135,3370,2052
665,136,3370,2057
666,136,3370,2062
667,136,3394,2067
668,136,3394,2071
669,136,3394,2074
670,136,3400,2077
671,136,3415,2080
672,136,3431,2083
673,136,3431,2086
674,137,3431,2089
675,137,3431,2092
676,137,3431,2095
677,137,3431,2098
678,137,3454,2102
679,137,3467,2106
680,137,3493,2110
681,138,3493,2114
682,139,3493,2118
683,139,3493,2122
684,139,3493,2126
685,139,3493,2129
686,139,3494,2132
687,139,3511,2135
688,140,3511,2138
689,140,3511,2139
690,140,3532,2140
691,140,3554,2141
692,141,3554,2142
693,141,3554,2143
694,141,3554,2144
695,141,3554,2145
696,141,3554,2145
697,141,3570,2145
698,141,3570,2145
699,141,3570,2145
700,141,3592,2145
701,142,3592,2145
702,142,3598,2145
703,143,3598,2145
704,143,3598,2145
705,143,3598,2145
706,143,3598,2145
707,143,3616,2145
708,143,3616,2145
709,143,3616,2145
710,143,3616,2145
711,143,3616,2145
712,143,3616,2145
713,143,3616,2145
714,143,3616,2145
715,143,3616,2145
716,143,3616,2145
717,143,3618,2145
718,143,3626,2145
719,143,3640,2145
720,143,3655,2145
721,143,3655,2145
722,143,3664,2145
723,143,3674,2145
724,143,3674,2145
725,143,3674,2145
726,143,3682,2145
727,143,3694,2145
728,143,3694,2145
729,143,3706,2145
730,143,3719,2145
731,143,3733,2145
732,143,3748,2145
733,143,3764,2145
734,143,3764,2145
735,143,3773,2146
736,143,3790,2147
737,144,3790,2148
738,144,3808,2149
739,144,3827,2150
740,145,3827,2151
741,146,3827,2152
742,147,3827,2153
743,148,3827,2154
744,148,3830,2155
745,148,3830,2156
746,148,3830,2156
747,148,3830,2156
748,149,3830,2156
749,149,3830,2156
750,150,3830,2156
751,151,3830,2156
752,151,3835,2157
753,151,3835,2158
754,151,3845,2159
755,151,3853,2161
756,151,3874,2164
757,151,3874,2167
758,151,3874,2170
759,151,3885,2173
760,151,3897,2176
761,151,3897,2179
762,151,3897,2182
763,151,3911,2186
764,151,3923,2190
765,152,3923,2194
766,152,3923,2197
767,153,3923,2200
768,154,3923,2203
769,155,3923,2206
770,155,3923,2208
771,155,3937,2210
772,155,3937,2212
773,155,3953,2215
774,155,3953,2218
775,155,3964,2222
776,156,3964,2226
777,156,3972,2230
778,157,3972,2234
779,157,3997,2239
780,158,3997,2244
781,159,3997,2249
782,160,3997,2254
783,161,3997,2259
784,162,3997,2264
785,162,3997,2268
786,162,3997,2271
787,162,3997,2274
788,162,3997,2277
789,162,4006,2281
790,162,4011,2286
791,162,4024,2291
792,162,4038,2297
793,162,4038,2302
794,162,4038,2307
795,162,4051,2312
796,163,4051,2317
797,163,4065,2323
798,164,4065,2329
799,165,4065,2335
800,166,4065,2341
801,167,4065,2347
802,168,4065,2353
803,169,4065,2359
804,169,4065,2365
805,170,4065,2371
806,171,4065,2377
807,172,4065,2383
808,173,4065,2389
809,174,4065,2395
810,174,4065,2400
811,174,4065,2404
812,174,4065,2408
813,174,4082,2412
814,174,4100,2416
815,174,4119,2420
816,174,4119,2424
817,174,4119,2428
818,174,4119,2432
819,174,4121,2436
820,174,4138,2440
821,175,4138,2444
822,175,4147,2449
823,176,4147,2454
824,176,4147,2459
825,176,4161,2464
826,177,4161,2469
827,177,4161,2474
828,177,4180,2479
829,178,4180,2484
830,179,4180,2489
831,180,4180,2494
832,180,4195,2499
833,181,4195,2504
834,181,4195,2508
835,181,4195,2511
836,181,4195,2514
837,181,4208,2517
838,181,4208,2520
839,181,4233,2523
840,182,4233,2526
841,182,4233,2528
842,182,4233,2530
843,182,4233,2531
844,182,4233,2531
845,182,4233,2531
846,182,4233,2531
847,182,4234,2531
848,182,4242,2531
849,182,4248,2531
850,182,4248,2531
851,182,4258,2531
852,182,4270,2532
853,182,4270,2533
854,182,4286,2534
855,182,4304,2536
856,182,4304,2538
857,182,4308,2541
858,182,4316,2545
859,182,4316,2549
860,182,4319,2553
861,182,4319,2557
862,183,4319,2561
863,183,4319,2565
864,183,4344,2569
865,183,4344,2573
866,183,4367,2577
867,184,4367,2581
868,184,4391,2585
869,185,4391,2589
